album_id,album_title,album_releaseDate,maker_id,album_genre
61d8298e-4d73-44a4-858c-7285d2bb703b,AlbumTitle16,2015-02-13,0f1f2fbd-8312-4554-aa89-d234da865cd4,Country
af8c5697-0949-4e1d-b0cc-fcf0d7c81aa5,AlbumTitle17,2016-12-06,ccf84c94-802b-43b5-aaf0-02065faaefb4,Country
f5690e50-353b-4be5-9281-095c066d65c8,AlbumTitle18,2017-01-19,f2da3bf4-a927-4c4e-a46b-9c66ab2bcf14,Jazz
953eb35a-996b-4f5c-9c79-bb4c7296afb1,AlbumTitle19,2018-06-13,b0d5643a-573a-4f80-936f-528f3ff12604,Rock
ebc0ddf3-c76a-4854-9506-447606d8d60a,AlbumTitle20,2019-09-14,4050483a-28f5-43ea-9183-21fe6a27d794,Rock
4fa30a3b-56c2-49a1-8a88-0faea1026f81,AlbumTitle21,2000-04-11,65f7b172-db7d-40a5-9be1-457ae837143c,Rock
95d41270-6b64-4da1-82a8-f685bea15b35,AlbumTitle22,2001-12-08,c2a3d5ea-d87b-4db0-b57a-97529f90730b,Disco
b5e97f63-dd00-4997-b17c-319f7bba5f8d,AlbumTitle23,2002-02-22,1d0b4a9e-2cfe-4ac8-bc3a-b5a639d9b28d,Pop
c99b2eaf-594f-4887-9579-ac70078a049e,AlbumTitle24,2003-04-18,6a49ba1e-c3a8-41d3-a614-b42dfb2dcad5,Reggae
b9433e52-a4fa-4b2a-aea8-c7b8bf27c656,AlbumTitle25,2004-05-18,18aa0ead-0a0d-48d0-83c9-d05724a2abf2,Folk
8eed0526-e45b-41c0-97f6-bb161f88462b,AlbumTitle26,2005-03-01,d4435f6e-308e-4bbe-8a7b-53ba5f3962d5,Jazz
11a2af6e-fc5a-4232-9b2a-d392c0e7e165,AlbumTitle27,2006-01-14,2117bec7-1cab-4b57-ac83-a49f001e4cdb,Metal
f4b17b02-1f4b-4e77-861c-e91441935bef,AlbumTitle28,2007-05-01,0f1f2fbd-8312-4554-aa89-d234da865cd4,Blues
1f53fddf-35b4-4616-bc25-20445c4a8f0a,AlbumTitle29,2008-10-08,ccf84c94-802b-43b5-aaf0-02065faaefb4,Pop
57cbf598-2457-4225-a3e2-cb67493657be,AlbumTitle30,2009-04-21,f2da3bf4-a927-4c4e-a46b-9c66ab2bcf14,Disco
8af5a85d-b229-4b51-9ac7-4cc84622882e,AlbumTitle31,2010-08-16,b0d5643a-573a-4f80-936f-528f3ff12604,Metal
7b6156ae-c02f-40c4-9c75-7d01e5b393f9,AlbumTitle32,2011-03-25,4050483a-28f5-43ea-9183-21fe6a27d794,Pop
f7a02e11-8b94-42ce-83ae-6067e79e6bce,AlbumTitle33,2012-07-08,65f7b172-db7d-40a5-9be1-457ae837143c,Rock
8d26114b-4033-4579-ab13-7c5472818f70,AlbumTitle34,2013-02-01,c2a3d5ea-d87b-4db0-b57a-97529f90730b,Reggae
c0e7e94b-5ce7-45aa-9be6-25e16e4e846f,AlbumTitle35,2014-03-16,1d0b4a9e-2cfe-4ac8-bc3a-b5a639d9b28d,Blues
cfd2abe6-a81a-45d3-afc2-48cd05597464,AlbumTitle36,2015-11-28,6a49ba1e-c3a8-41d3-a614-b42dfb2dcad5,Classical
45c721a8-0c8b-48f5-a11a-37a0f737cba5,AlbumTitle37,2016-02-17,18aa0ead-0a0d-48d0-83c9-d05724a2abf2,Disco
c438f10e-bb55-4ee6-9ca2-b4b624b06763,AlbumTitle38,2017-05-07,d4435f6e-308e-4bbe-8a7b-53ba5f3962d5,Folk
7c36afd8-9d0e-454a-8c8c-759edef17856,AlbumTitle39,2018-09-08,2117bec7-1cab-4b57-ac83-a49f001e4cdb,Folk
72e95c7a-e04a-4af1-90fc-2f76f3655bea,AlbumTitle40,2019-11-02,0f1f2fbd-8312-4554-aa89-d234da865cd4,Blues
bc47d595-9c40-42fd-b75f-e962913e2f96,AlbumTitle41,2000-12-07,ccf84c94-802b-43b5-aaf0-02065faaefb4,Reggae
7ea4ddc8-f3b5-4b19-9ed3-90cc0b34239a,AlbumTitle42,2001-12-02,f2da3bf4-a927-4c4e-a46b-9c66ab2bcf14,Pop
a996142e-4c04-430f-adba-02e6124bc000,AlbumTitle43,2002-05-21,b0d5643a-573a-4f80-936f-528f3ff12604,Blues
5f262e00-d00d-4e52-9c6f-d2881b641ec8,AlbumTitle44,2003-11-05,4050483a-28f5-43ea-9183-21fe6a27d794,Blues
f39f25e9-17cf-47ea-9bf2-c5ca015d06a9,AlbumTitle45,2004-09-09,65f7b172-db7d-40a5-9be1-457ae837143c,Reggae
8a44a748-4473-43e2-b1e5-3d4494fcb66d,AlbumTitle46,2005-04-01,c2a3d5ea-d87b-4db0-b57a-97529f90730b,Rock
88f8473f-d4e1-4d5d-b5b8-269f2a181e21,AlbumTitle47,2006-04-09,1d0b4a9e-2cfe-4ac8-bc3a-b5a639d9b28d,Electronic
f9018f5d-7917-4f86-ad7a-c3c8259002eb,AlbumTitle48,2007-10-07,6a49ba1e-c3a8-41d3-a614-b42dfb2dcad5,Rock
9cf33160-28b9-4fe3-a8ed-6f239988e098,AlbumTitle49,2008-12-13,18aa0ead-0a0d-48d0-83c9-d05724a2abf2,Jazz
e91ae147-531f-4298-98dc-ec3f7ee00403,AlbumTitle50,2009-02-14,d4435f6e-308e-4bbe-8a7b-53ba5f3962d5,Hip-Hop
7feb326c-11c5-4828-817d-f7fb3f604215,AlbumTitle51,2010-12-15,2117bec7-1cab-4b57-ac83-a49f001e4cdb,Classical
79e66d08-eeb3-4d07-afe5-8d0532eaf2e8,AlbumTitle52,2011-08-06,0f1f2fbd-8312-4554-aa89-d234da865cd4,Blues
11f99609-e60c-4e73-b798-7f25ae817774,AlbumTitle53,2012-06-01,ccf84c94-802b-43b5-aaf0-02065faaefb4,Reggae
9c204848-caa9-43a9-a8b6-30311eda3428,AlbumTitle54,2013-12-07,f2da3bf4-a927-4c4e-a46b-9c66ab2bcf14,Reggae
75a97343-48f0-41ca-81c4-4de19486cc83,AlbumTitle55,2014-12-19,b0d5643a-573a-4f80-936f-528f3ff12604,Country
fcd1c7cf-92f0-4ea5-a47e-84e02a788ca9,AlbumTitle56,2015-05-08,4050483a-28f5-43ea-9183-21fe6a27d794,Metal
454d8ecf-87c5-44b1-9b25-2aa997354782,AlbumTitle57,2016-12-12,65f7b172-db7d-40a5-9be1-457ae837143c,Country
68d76060-2546-4b24-ba13-be2315d657d4,AlbumTitle58,2017-11-18,c2a3d5ea-d87b-4db0-b57a-97529f90730b,Disco
5835620a-20fb-49af-81bc-bc00c8f1cbc2,AlbumTitle59,2018-11-26,1d0b4a9e-2cfe-4ac8-bc3a-b5a639d9b28d,Blues
3565368d-d7d9-4514-adb2-39060a69bce7,AlbumTitle60,2019-01-05,6a49ba1e-c3a8-41d3-a614-b42dfb2dcad5,Metal
